Informe generado por  :,Etsol SRL,,,,,,,,,,,
Generado el  :,03 Oct 2025 09:35 AM,,,,,,,,,,,
Nombre de departamento:,Mesa de soporte,,,,,,,,,,,
1-Cantidad de Ticket por Rango Fecha ,,,,,,,,,,,,
ID de Ticket,Hora de creación (Ticket),Nombre de Cuenta,Asunto,Descripción del error,Ticket Descripción,Estado (Ticket),Fecha de cierre,Canal,Clasificaciones,Motivo de la urgencia,Propietario de Ticket,Módulo
104110,01 Sep 2025 08:03 AM,FUGAS,"Modificación reportes por campo de ""pago diferido""",-,,Cerrado,01 Sep 2025,Chat,Consulta,-,Elizabeth Alvarez,Reportes
104111,01 Sep 2025 08:10 AM,HERRAJES YORI,Modificar dirección IP de IF EPSON por cambios en la misma,-,,Cerrado,01 Sep 2025,Phone,Consulta,-,Lautaro Bustos,Impresoras Fiscales
104112,01 Sep 2025 08:14 AM,METAL GRANDE,Consulta por script personalizados dados de alta en el sistema,-,,Cerrado,01 Sep 2025,Chat,Consulta,-,Karen Varon,Script
104113,01 Sep 2025 08:27 AM,Lampe,Solicita archivos xls para importar los códigos de barra de los artículos.,-,Solicita archivos xls para importar los códigos de barra de los artículos.,Cerrado,01 Sep 2025,Chat,Consulta,-,Leila Bonacina,PalJet Import
104114,01 Sep 2025 08:38 AM,DIPORÁ,Modificar fecha emisión en factura,-,,Cerrado,01 Sep 2025,Chat,Consulta,-,Elizabeth Alvarez,CPR Ventas
104115,01 Sep 2025 08:45 AM,BRM REPUESTOS MOTOR,Cambio punto de venta a comprobantes emitidos por IF,-,,Cerrado,02 Sep 2025,Email,Consulta,-,Karen Varon,CPR Ventas
104116,01 Sep 2025 08:45 AM,Lampe,consulta planilla para importar el ean de artículos,-,consulta planilla para importar el ean de artículos,Cerrado,01 Sep 2025,Chat,Consulta,-,Leila Bonacina,PalJet Import
104117,01 Sep 2025 09:03 AM,El Super de los Filtros,Trabajar con cantidades bonificadas,-,"Trabajar con cantidades bonificadas Indicamos desde donde se colocan las cantidades bonificadas, que se habilitan el el flags ID 51 y que puede controlar las cantidades bonificadas con la consulta ID 182. Además indicamos que el sistema no restringe las cantidades bonificadas que se cargan a no ser que se coloque un script. Indica que lo trabajarán asi y cualquier cosa solicitarán ya que solo es por una promoción de unos días",Cerrado,01 Sep 2025,Phone,Consulta,-,Macarena Analía Ramirez Barzola,CPR Ventas
104118,01 Sep 2025 09:09 AM,ROUTER,Consulta por facturas emitidas por tickets #101824 y #102761,-,,Cerrado,01 Sep 2025,Chat,Consulta,-,Karen Varon,Administración
104119,01 Sep 2025 09:25 AM,REFRIGERACION MR,Incidentes para ingresar al sistema en diferentes pcs,-,,Cerrado,01 Sep 2025,Phone,Incidente,-,Lautaro Bustos,Servidores
104120,01 Sep 2025 09:36 AM,REDFLUX,baja de servicio completo,-,"Estimados, Queremos informarles que, a partir del 31 de agosto de 2025, nuestra empresa prescindirá de los servicios que ustedes nos vienen brindando. Tomamos esta decisión con mucho pesar, ya que la experiencia de trabajo con su equipo siempre ha sido sumamente positiva y profesional. Sin embargo, una de las compañías más importantes que representamos nos exige la utilización de su sistema propio, lo que nos obliga a discontinuar la relación con Paljet. Lamentamos profundamente no poder continuar en este momento, aunque mantenemos la puerta abierta para que, en un futuro, podamos volver a desarrollar proyectos en conjunto. Agradecemos sinceramente todo el acompañamiento, el compromiso y la calidad de servicio que nos han brindado durante este tiempo. Un cordial saludo, Tomasgo SA Gonzalo Rosa Presidente",Cerrado,01 Sep 2025,Chat,Baja Licencia/Modulo,-,Macarena Monetta,Licencia / Modulo
104121,01 Sep 2025 09:41 AM,SUMIAGRO,Instalación de servidor por falla en pc original,-,"llamada entrante de (3424406300) Llama Belén Solicitan instalación del sistema en pc nueva ya que la original que tenían se rompió y no poseen acceso, consultamos e indica que poseen backup de semana pasada",Cerrado,11 Sep 2025,Phone,Instalación,-,Agustina Acosta,Servidores
104122,01 Sep 2025 09:42 AM,El Super de los Filtros,Reestablecer contraseña Portal Mesa de ayuda,-,,Cerrado,01 Sep 2025,Email,Consulta,-,Elizabeth Alvarez,Administración
104123,01 Sep 2025 09:51 AM,Lampe,Error al importar planilla de excell con los codigos ean,-,"Error al importar planilla de Excel con los códigos EAN, dado que los códigos EAN de empaque poseían el mismo código surge el error. Se le informo que actualmente no poseemos herramientas para desasociarlo de forma masiva",Cerrado,01 Sep 2025,Chat,Consulta,-,Leila Bonacina,PalJet Import
