Nombre de Cuenta,Tipo de Cuenta,Nombre de Modulo Activo,Producto,Cantidad de PC,Cantidad de teléfonos Mobile,Cantidad de Usuarios,Calificación,Fecha de  Venta,Fecha de Alta,Fecha de baja Paljet,Fecha de Inicio PalJetERP,Estado
Agujuan srl,Cliente,Agujuan srl - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),3,5,,Activo,,25/08/2025,,,Activo
Agujuan srl,Cliente,Agujuan srl - WebService,Web Service PalJet ERP (para integraciones),3,5,,Activo,,25/08/2025,,,Activo
Agujuan srl,Cliente,Agujuan srl - BBJet Mobile,BBJet Mobile Preventa Licencia servidor,3,5,,Activo,,25/08/2025,,,Activo
ARENAS DEL PARANA SRL,Cliente,ARENAS DEL PARANA SRL - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),3,,,Activo,27/06/2025,23/06/2025,,21/07/2025,Activo
VETERINARIA ARGENTINA,Cliente,VETERINARIA ARGENTINA - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),7,,,Activo,24/06/2025,19/06/2025,,,Activo
Grupo Anguios S.R.L,Cliente,Grupo Anguios S.R.L - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),4,,6,Activo,19/06/2025,13/06/2025,,,Activo
Smack,Cliente,SMACK - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),3,,,Activo,20/09/2024,18/09/2024,,27/05/2025,Inactivo
ARCOIRIS PINTURERIA,Cliente,ARCOIRIS PINTURERIA - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),20,,23,Activo,19/09/2024,16/09/2024,,01/09/2025,Inactivo
ARCOIRIS PINTURERIA,Cliente,ARCOIRIS PINTURERIA - Web Service,Web Service PalJet ERP (para integraciones),20,,23,Activo,19/09/2024,16/09/2024,,01/09/2025,Inactivo
ARCOIRIS PINTURERIA,Cliente,ARCOIRIS PINTURERIA - BBJet BtoB,BBJet BtoB,20,,23,Activo,19/09/2024,16/09/2024,,01/09/2025,Inactivo
ARCOIRIS PINTURERIA,Cliente,ARCOIRIS PINTURERIA - Logística,Módulo Logística,20,,23,Activo,19/09/2024,16/09/2024,,01/09/2025,Activo
ARCOIRIS PINTURERIA,Cliente,ARCOIRIS PINTURERIA - Contabilidad,Módulo Contabilidad,20,,23,Activo,19/09/2024,16/09/2024,,01/09/2025,Activo
ARCOIRIS PINTURERIA,Cliente,ARCOIRIS PINTURERIA - CUIT adicional,CUIT adicional,20,,23,Activo,19/09/2024,16/09/2024,,01/09/2025,Activo
ARCOIRIS PINTURERIA,Cliente,ARCOIRIS PINTURERIA - Factura de Crédito Electrónica,Módulo Factura de crédito electrónica,20,,23,Activo,19/09/2024,16/09/2024,,01/09/2025,Activo
MI viejo corralón y ferretería,Cliente,MI VIEJO CORRALÓN Y FERRETERÍA - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),4,,,Activo,15/08/2024,12/08/2024,,25/11/2024,Inactivo
E-Parts Franquicia San Luis,Cliente,E-Parts Franquicia San Luis - Business Intelligence,Business Intelligence,4,,3,Activo,08/07/2024,01/07/2024,,29/08/2024,Activo
E-Parts Franquicia San Luis,Cliente,E-Parts Franquicia San Luis - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),4,,3,Activo,08/07/2024,01/07/2024,,29/08/2024,Activo
E-Parts Franquicia San Luis,Cliente,E-Parts Franquicia San Luis - Web Service,Web Service PalJet ERP (para integraciones),4,,3,Activo,08/07/2024,01/07/2024,,29/08/2024,Activo
Piragini Motorepuestos,Cliente,Piragini Motorepuestos - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),6,,6,Activo,26/06/2024,10/06/2024,,08/10/2024,Activo
Desconci Metalúrgica y Corralon,Cliente,Desconci Metalúrgica y Corralon - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),3,,,Activo,24/12/2024,13/12/2024,,,Inactivo
LOGBELTS SRL,Cliente,LOGBELTS SRL - PalJet ERP,PalJet ERP estándar - Licencia servidor (backend),9,6,,Activo,06/09/2024,02/09/2024,,08/01/2025,Activo
LOGBELTS SRL,Cliente,LOGBELTS SRL - Web Service,Web Service PalJet ERP (para integraciones),9,6,,Activo,06/09/2024,02/09/2024,,08/01/2025,Activo
LOGBELTS SRL,Cliente,LOGBELTS SRL - BBJet BtoB,BBJet BtoB,9,6,,Activo,06/09/2024,02/09/2024,,08/01/2025,Activo
